Invoice_ID,Vendor_Name,Category,Department,Invoice_Date,Amount,Payment_status,Region
INV61,Infosys,Software,IT,2025-02-21,11107,Pending,South
INV62,Microsoft,Consulting,Marketing,2024-09-27,22685,Paid,South
INV63,Infosys,Office Supplies,IT,2024-06-19,15474,Pending,West
INV64,Amazon,Logistics,Marketing,2025-05-19,34933,Paid,South
INV65,Infosys,Logistics,HR,2026-03-04,2426,Pending,North
INV66,Oracle,Office Supplies,Operations,2024-08-02,39709,Paid,North
INV67,Dell,Office Supplies,Marketing,2024-10-20,37425,Pending,North
INV68,Amazon,Office Supplies,Operations,2025-02-07,10571,Pending,East
INV69,Cisco,Software,Operations,2024-07-02,32866,Pending,West
INV70,TCS,IT Hardware,Marketing,2024-06-20,33722,Pending,West
INV71,Dell,Office Supplies,IT,2024-04-24,28449,Paid,North
INV72,TCS,Software,Marketing,2024-08-14,5234,Pending,South
INV73,Amazon,IT Hardware,Finance,2025-09-28,8604,Pending,North
INV74,Infosys,Consulting,HR,2025-07-08,25151,Paid,South
INV75,Dell,Logistics,HR,2025-03-20,10558,Paid,West
INV76,TCS,Consulting,HR,2025-03-05,6678,Paid,East
INV77,Dell,Software,IT,2026-02-01,22203,Pending,South
INV78,Cisco,Office Supplies,IT,2025-11-19,17613,Paid,South
INV79,Lenovo,Logistics,IT,2024-09-23,27632,Paid,West
INV80,Dell,Office Supplies,Operations,2024-11-10,46663,Paid,South
INV81,Lenovo,Consulting,Finance,2025-01-04,49257,Pending,South
INV82,TCS,Logistics,HR,2026-01-25,39650,Pending,East
INV83,Infosys,Software,HR,2025-11-05,11820,Pending,North
INV84,TCS,IT Hardware,HR,2024-08-03,13203,Paid,East
INV85,Cisco,IT Hardware,Finance,2025-09-02,21335,Paid,South
INV86,Lenovo,Consulting,Marketing,2024-12-06,37096,Paid,West
INV87,Wipro,Software,Finance,2025-08-17,41931,Pending,North
INV88,HP,Logistics,Marketing,2025-07-09,3554,Paid,West
INV89,Infosys,Office Supplies,Finance,2025-04-21,9690,Paid,West
INV90,Dell,Software,Finance,2024-11-12,16622,Pending,West
INV91,TCS,Software,IT,2025-08-27,19989,Pending,West
INV92,Cisco,Logistics,Marketing,2024-05-11,39093,Pending,South
INV93,Microsoft,Software,IT,2025-03-10,17344,Paid,South
INV94,Amazon,Office Supplies,HR,2024-10-12,41860,Paid,East
INV95,Lenovo,IT Hardware,Operations,2025-10-01,38412,Paid,West
INV96,TCS,IT Hardware,Finance,2025-11-03,11018,Pending,West
INV97,Cisco,IT Hardware,Marketing,2025-06-16,36716,Paid,West
INV98,TCS,Office Supplies,Finance,2025-05-16,42324,Pending,North
INV99,Oracle,Consulting,Operations,2024-11-01,35962,Paid,South
INV100,Infosys,Office Supplies,Finance,2025-05-04,31115,Paid,North
INV101,Oracle,IT Hardware,Marketing,2025-05-17,26037,Paid,East
INV102,HP,Logistics,IT,2025-08-24,11764,Pending,East
INV103,Lenovo,IT Hardware,Operations,2025-11-25,2027,Paid,North
INV104,HP,IT Hardware,HR,2025-01-08,31838,Pending,East
INV105,Infosys,Software,Operations,2024-04-18,47132,Paid,West
INV106,TCS,Logistics,IT,2025-06-22,18348,Pending,East
INV107,TCS,Consulting,HR,2024-11-16,15064,Paid,East
INV108,Wipro,Office Supplies,HR,2024-08-25,46934,Pending,East
INV109,Lenovo,Consulting,IT,2025-05-20,44161,Paid,North
INV110,HP,Consulting,IT,2025-09-23,25296,Paid,South
INV111,Wipro,Consulting,Finance,2024-09-18,18519,Paid,West
INV112,Microsoft,IT Hardware,HR,2024-03-31,3142,Paid,East
INV113,HP,Logistics,Finance,2024-03-23,47668,Paid,East
INV114,HP,Consulting,Operations,2024-12-29,10133,Pending,West
INV115,TCS,Software,Marketing,2025-01-15,28633,Pending,South
INV116,Wipro,IT Hardware,HR,2025-09-16,36507,Paid,North
INV117,Wipro,Logistics,IT,2024-05-08,49493,Paid,West
INV118,HP,Logistics,Finance,2025-08-02,45121,Pending,North
INV119,Infosys,Consulting,Marketing,2024-07-10,2959,Pending,South
INV120,Wipro,IT Hardware,Finance,2025-05-01,39571,Pending,North
INV121,TCS,Consulting,HR,2024-07-14,33720,Pending,South
INV122,Infosys,Logistics,HR,2026-01-16,17761,Paid,East
INV123,Infosys,Logistics,IT,2025-01-01,38430,Pending,West
INV124,Infosys,Office Supplies,IT,2026-03-12,26224,Pending,West
INV125,Oracle,Consulting,Marketing,2025-01-14,33522,Pending,South
INV126,Lenovo,Consulting,IT,2025-05-31,14628,Pending,East
INV127,Infosys,Logistics,HR,2025-06-17,15560,Paid,South
INV128,Oracle,Consulting,Operations,2025-11-26,47087,Pending,East
INV129,Amazon,Software,Operations,2024-05-16,12076,Paid,North
INV130,TCS,Software,IT,2024-04-18,22562,Paid,North
INV131,Lenovo,Office Supplies,HR,2025-08-20,2172,Paid,South
INV132,HP,Software,Operations,2024-05-07,36953,Pending,West
INV133,Microsoft,Consulting,Operations,2026-02-28,1565,Paid,East
INV134,Lenovo,Logistics,Marketing,2025-05-19,6273,Paid,East
INV135,TCS,IT Hardware,Operations,2025-11-12,43638,Pending,North
INV136,Wipro,Office Supplies,Operations,2024-05-25,3181,Paid,East
INV137,HP,Software,Finance,2026-01-06,32627,Pending,West
INV138,Infosys,Consulting,Finance,2024-06-12,30117,Paid,North
INV139,Dell,IT Hardware,Operations,2024-07-21,10472,Pending,North
INV140,TCS,Software,Marketing,2026-02-03,20742,Pending,West
INV141,Dell,Consulting,Marketing,2024-04-17,9898,Paid,South
INV142,Cisco,Office Supplies,HR,2025-08-27,45033,Pending,North
INV143,Oracle,Logistics,IT,2025-03-16,14573,Paid,South
INV144,TCS,Consulting,IT,2026-03-02,17623,Pending,South
INV145,Microsoft,IT Hardware,IT,2025-11-07,4146,Pending,East
INV146,Lenovo,IT Hardware,Finance,2024-06-17,4461,Pending,West
INV147,Amazon,Logistics,IT,2024-05-11,672,Paid,East
INV148,TCS,Consulting,Marketing,2025-06-19,13769,Pending,South
INV149,TCS,Consulting,Operations,2025-03-11,15056,Pending,South
INV150,Wipro,Office Supplies,Operations,2024-07-29,42925,Paid,North
INV151,Lenovo,Office Supplies,IT,2025-03-23,26733,Pending,West
INV152,TCS,Office Supplies,Operations,2025-04-11,2312,Paid,South
INV153,Oracle,Consulting,Operations,2024-06-06,23154,Paid,West
INV154,Microsoft,Consulting,Finance,2025-03-15,39950,Paid,West
INV155,Wipro,IT Hardware,Finance,2025-06-09,37083,Pending,South
INV156,Microsoft,Software,HR,2025-07-24,1956,Pending,West
INV157,Oracle,IT Hardware,Finance,2025-01-31,22543,Paid,North
INV158,Microsoft,Consulting,HR,2025-10-02,30563,Paid,East
INV159,Oracle,Office Supplies,IT,2025-07-24,7219,Pending,South
INV160,Microsoft,IT Hardware,Operations,2025-10-29,42895,Pending,East
INV161,Amazon,Consulting,Finance,2025-04-01,18146,Paid,West
INV162,Wipro,Logistics,Marketing,2024-06-27,46566,Paid,East
INV163,Lenovo,Consulting,Marketing,2025-12-31,8748,Paid,West
INV164,Cisco,Software,Operations,2025-11-16,38136,Pending,South
INV165,Dell,IT Hardware,HR,2024-05-30,5857,Pending,North
INV166,HP,Logistics,Marketing,2025-05-14,34493,Pending,South
INV167,Oracle,Logistics,HR,2024-04-04,47187,Pending,East
INV168,Cisco,Logistics,Operations,2024-06-02,22671,Pending,East
INV169,TCS,IT Hardware,Finance,2025-09-08,26727,Pending,North
INV170,Wipro,Software,HR,2025-03-13,34450,Paid,North
INV171,Infosys,IT Hardware,Marketing,2025-03-16,49275,Pending,South
INV172,TCS,Software,HR,2025-08-16,6464,Paid,South
INV173,Dell,IT Hardware,IT,2025-05-08,2878,Pending,North
INV174,Oracle,Logistics,IT,2024-09-17,2353,Paid,North
INV175,TCS,Consulting,Finance,2025-09-20,39306,Pending,South
INV176,Oracle,Software,Operations,2025-02-23,17810,Paid,West
INV177,Cisco,Logistics,Marketing,2025-05-11,17949,Pending,North
INV178,Microsoft,Logistics,Operations,2025-02-21,46090,Paid,East
INV179,Lenovo,IT Hardware,Operations,2025-11-14,47373,Paid,West
INV180,Wipro,Consulting,Marketing,2026-01-28,49076,Pending,East
INV181,TCS,Office Supplies,IT,2026-02-20,25448,Pending,West
INV182,Amazon,Software,Marketing,2025-05-18,24817,Pending,West
INV183,Microsoft,Logistics,Operations,2026-01-20,37556,Pending,North
INV184,Wipro,Software,Operations,2025-11-08,22036,Paid,North
INV185,Infosys,Software,Operations,2024-10-13,3593,Paid,South
INV186,HP,Office Supplies,Marketing,2024-09-28,13336,Paid,South
INV187,Infosys,Office Supplies,Marketing,2026-03-07,39619,Pending,North
INV188,Infosys,IT Hardware,IT,2024-10-05,24273,Paid,West
INV189,HP,IT Hardware,HR,2025-04-12,35371,Pending,East
INV190,Infosys,Office Supplies,IT,2026-02-26,27614,Paid,West
INV191,Amazon,Logistics,IT,2025-10-17,18076,Paid,East
INV192,Infosys,Consulting,Operations,2025-10-22,19626,Pending,North
INV193,HP,Software,HR,2025-11-10,41200,Pending,East
INV194,HP,Software,Finance,2024-12-30,34035,Paid,East
INV195,Wipro,IT Hardware,Operations,2024-06-01,47713,Pending,East
INV196,TCS,Office Supplies,HR,2025-07-28,44123,Paid,South
INV197,Oracle,Office Supplies,Finance,2024-12-05,3742,Pending,West
INV198,Microsoft,Consulting,Finance,2024-10-01,38389,Pending,West
INV199,Wipro,Consulting,Marketing,2025-06-28,38454,Paid,South
INV200,Microsoft,Consulting,Operations,2025-12-24,4988,Pending,East
INV201,Lenovo,Office Supplies,HR,2024-09-23,28995,Paid,East
INV202,TCS,IT Hardware,Marketing,2024-03-26,23768,Pending,East
INV203,Lenovo,Software,Finance,2024-05-16,37317,Pending,North
INV204,Infosys,Office Supplies,IT,2025-11-08,36898,Pending,East
INV205,Dell,IT Hardware,HR,2025-02-19,8127,Paid,North
INV206,Infosys,IT Hardware,Finance,2024-09-29,20168,Paid,South
INV207,TCS,Office Supplies,Operations,2025-03-18,7832,Pending,East
INV208,Oracle,Software,HR,2024-08-02,18145,Pending,East
INV209,TCS,Office Supplies,Operations,2025-11-20,22567,Pending,East
INV210,Amazon,Software,IT,2026-02-06,24481,Pending,South
INV211,Cisco,Consulting,IT,2024-08-06,14390,Paid,West
INV212,Dell,IT Hardware,HR,2024-11-23,789,Pending,North
INV213,HP,Consulting,HR,2025-07-18,26883,Paid,North
INV214,Infosys,Consulting,IT,2025-08-01,19470,Paid,West
INV215,Lenovo,Logistics,HR,2024-12-16,27774,Paid,South
INV216,Oracle,Logistics,IT,2025-06-15,16031,Paid,North
INV217,Infosys,IT Hardware,Finance,2025-08-02,30382,Pending,South
INV218,Wipro,Consulting,Operations,2024-10-30,14986,Pending,South
INV219,TCS,Software,Finance,2024-09-25,4572,Paid,East
INV220,Oracle,Consulting,Marketing,2025-08-02,29710,Pending,South
INV221,Amazon,Software,IT,2024-06-19,25387,Paid,South
INV222,Cisco,Software,Finance,2024-03-19,5422,Pending,North
INV223,Microsoft,Logistics,IT,2025-12-18,29208,Pending,West
INV224,Cisco,Software,Finance,2025-12-01,4867,Pending,West
INV225,Microsoft,Office Supplies,IT,2025-08-20,21525,Pending,North
INV226,TCS,Office Supplies,IT,2024-07-11,12643,Pending,North
INV227,Oracle,Office Supplies,Operations,2024-09-15,4777,Pending,West
INV228,Microsoft,Office Supplies,Finance,2024-10-12,46668,Pending,East
INV229,Cisco,Office Supplies,IT,2024-06-07,30415,Pending,East
INV230,Lenovo,IT Hardware,Operations,2024-08-15,33085,Paid,South
INV231,Wipro,Office Supplies,Marketing,2024-09-05,25187,Pending,South
INV232,Dell,Consulting,HR,2024-10-16,37895,Paid,West
INV233,Lenovo,Consulting,Marketing,2024-08-18,42813,Pending,West
INV234,Microsoft,Logistics,Marketing,2025-09-24,5531,Paid,West
INV235,Cisco,Consulting,Marketing,2024-09-23,26223,Pending,East
INV236,Wipro,Logistics,HR,2025-12-15,36985,Pending,East
INV237,TCS,Logistics,IT,2025-12-04,45679,Pending,South
INV238,Wipro,IT Hardware,IT,2025-05-04,3180,Pending,North
INV239,Dell,Consulting,HR,2025-12-05,26069,Paid,South
INV240,Infosys,Software,Finance,2025-12-16,33281,Paid,West
INV241,Microsoft,Software,Operations,2024-07-01,38828,Paid,West
INV242,TCS,Consulting,HR,2024-10-22,11436,Paid,South
INV243,Wipro,Office Supplies,HR,2024-03-25,47422,Pending,East
INV244,Wipro,IT Hardware,Operations,2025-10-25,39165,Pending,West
INV245,TCS,Office Supplies,Finance,2024-12-25,26912,Paid,South
INV246,HP,Software,Marketing,2025-09-05,1748,Pending,East
INV247,Dell,Consulting,Marketing,2024-08-16,10394,Pending,West
INV248,Cisco,Software,HR,2024-11-28,36856,Pending,North
INV249,Lenovo,Logistics,Finance,2024-08-17,18726,Pending,East
INV250,Infosys,IT Hardware,HR,2025-09-15,18114,Paid,East
INV251,Lenovo,Consulting,Finance,2025-06-18,15370,Paid,North
INV252,Cisco,Software,IT,2025-09-26,41243,Pending,West
INV253,Cisco,Office Supplies,Operations,2025-02-01,2056,Paid,South
INV254,Dell,Consulting,HR,2024-10-21,49092,Paid,West
INV255,Cisco,IT Hardware,Finance,2024-11-16,34797,Pending,North
INV256,Cisco,Consulting,Marketing,2024-09-08,5593,Pending,West
INV257,Dell,Software,HR,2024-03-21,15940,Pending,North
INV258,Lenovo,Logistics,HR,2024-04-27,31386,Paid,East
INV259,Oracle,Office Supplies,Marketing,2024-03-20,33017,Paid,West
INV260,Dell,Consulting,Marketing,2025-06-27,16721,Paid,East
INV261,Oracle,Logistics,Finance,2025-05-23,27283,Pending,South
INV262,HP,Logistics,Marketing,2026-01-03,19344,Pending,East
INV263,Cisco,Office Supplies,Marketing,2025-02-19,2524,Paid,East
INV264,Cisco,IT Hardware,IT,2025-08-20,21623,Pending,West
INV265,HP,IT Hardware,HR,2025-10-21,977,Pending,South
INV266,Oracle,Logistics,HR,2024-03-19,43983,Pending,East
INV267,Amazon,Office Supplies,Marketing,2026-01-21,24883,Paid,North
INV268,Cisco,IT Hardware,Marketing,2025-11-12,29197,Paid,South
INV269,Wipro,Logistics,Finance,2025-02-24,1599,Paid,East
INV270,Microsoft,Office Supplies,Operations,2026-02-17,5087,Pending,North
INV271,Amazon,Office Supplies,HR,2024-08-11,22523,Pending,South
INV272,Wipro,Software,Marketing,2025-06-21,4695,Pending,East
INV273,HP,Consulting,Operations,2024-08-22,42213,Pending,West
INV274,Lenovo,IT Hardware,IT,2025-04-09,35775,Paid,South
INV275,Cisco,Software,IT,2024-12-09,18506,Pending,West
INV276,Oracle,IT Hardware,HR,2026-03-08,29669,Pending,West
INV277,Wipro,Office Supplies,Operations,2025-08-28,38866,Paid,West
INV278,HP,Software,Marketing,2024-10-04,24620,Paid,East
INV279,HP,Software,Marketing,2025-04-22,33838,Paid,North
INV280,Dell,Software,Finance,2025-07-17,5748,Paid,North
INV281,Cisco,IT Hardware,Operations,2025-08-31,35904,Paid,East
INV282,Microsoft,Office Supplies,IT,2025-10-19,38550,Pending,West
INV283,Cisco,Office Supplies,Marketing,2026-02-05,43059,Pending,East
INV284,Microsoft,IT Hardware,Finance,2025-03-09,7658,Paid,South
INV285,Amazon,IT Hardware,Operations,2024-05-16,38488,Paid,South
INV286,Amazon,Logistics,Finance,2024-08-06,36947,Pending,North
INV287,Dell,IT Hardware,Operations,2026-02-11,33564,Paid,West
INV288,TCS,IT Hardware,Operations,2025-11-10,25700,Pending,East
INV289,HP,IT Hardware,Operations,2024-06-23,4725,Paid,West
INV290,Oracle,Consulting,Marketing,2024-04-14,16286,Pending,North
INV291,Oracle,Logistics,Finance,2025-04-11,41524,Pending,West
INV292,HP,Software,Marketing,2024-12-16,34096,Paid,North
INV293,Microsoft,Office Supplies,IT,2024-07-08,23665,Paid,North
INV294,Dell,IT Hardware,Marketing,2024-10-24,1954,Paid,North
INV295,Microsoft,IT Hardware,HR,2024-07-16,36278,Paid,West
INV296,Oracle,Logistics,HR,2026-03-07,30240,Pending,West
INV297,TCS,Office Supplies,Finance,2025-03-14,35396,Paid,East
INV298,Dell,Software,Marketing,2026-01-18,32653,Paid,East
INV299,Oracle,Logistics,HR,2024-08-19,4111,Paid,East
INV300,Dell,Logistics,IT,2024-12-28,18113,Pending,South
INV301,Amazon,Software,Marketing,2024-04-28,34497,Pending,South
INV302,Wipro,IT Hardware,IT,2025-02-18,2356,Pending,West
INV303,HP,Software,Operations,2025-10-21,7540,Pending,East
INV304,Cisco,Consulting,Marketing,2025-07-12,30947,Paid,West
INV305,TCS,Office Supplies,IT,2025-04-09,10846,Paid,East
INV306,Wipro,Office Supplies,IT,2026-02-03,26148,Pending,West
INV307,Infosys,Consulting,HR,2024-10-27,11755,Pending,West
INV308,Oracle,IT Hardware,Operations,2025-12-28,19414,Pending,South
INV309,TCS,Software,IT,2024-08-11,3448,Pending,West
INV310,Infosys,IT Hardware,Finance,2025-09-30,12149,Paid,North
INV311,TCS,Logistics,Operations,2025-05-11,45330,Pending,East
INV312,Infosys,Office Supplies,Marketing,2026-01-08,11749,Paid,South
INV313,Cisco,Consulting,Marketing,2025-04-18,29453,Pending,West
INV314,Lenovo,Logistics,Operations,2026-02-23,37611,Pending,South
INV315,Infosys,Logistics,HR,2024-04-23,5740,Pending,East
INV316,Infosys,Office Supplies,Finance,2025-06-03,18764,Pending,East
INV317,Amazon,Logistics,Finance,2026-01-26,37240,Pending,North
INV318,Amazon,Consulting,Operations,2025-03-21,20783,Paid,East
INV319,Microsoft,Consulting,Finance,2024-05-27,17327,Pending,East
INV320,TCS,Office Supplies,HR,2025-02-22,40923,Pending,East
INV321,Oracle,Software,Marketing,2025-02-28,14638,Pending,East
INV322,Wipro,Logistics,Operations,2024-08-09,31339,Pending,East
INV323,Dell,Consulting,HR,2025-01-28,48987,Paid,East
INV324,Lenovo,Logistics,Finance,2025-11-13,20354,Pending,South
INV325,TCS,IT Hardware,Finance,2025-08-04,7141,Paid,East
INV326,Wipro,Office Supplies,Operations,2025-09-16,29088,Pending,North
INV327,Infosys,Logistics,Finance,2024-05-04,35153,Pending,East
INV328,Infosys,Logistics,IT,2025-12-18,12170,Paid,West
INV329,Oracle,Consulting,Marketing,2025-01-12,37087,Pending,North
INV330,Oracle,Logistics,Finance,2024-05-13,3839,Pending,South
INV331,HP,Logistics,Marketing,2025-12-20,35931,Pending,South
INV332,Lenovo,IT Hardware,Finance,2025-12-09,16121,Paid,South
INV333,Cisco,Office Supplies,HR,2025-11-03,49649,Paid,East
INV334,Lenovo,Software,Finance,2024-11-18,20029,Pending,North
INV335,Oracle,Office Supplies,Operations,2025-09-16,17014,Paid,West
INV336,TCS,IT Hardware,Operations,2025-08-03,16148,Paid,South
INV337,Cisco,IT Hardware,IT,2025-03-24,40135,Paid,South
INV338,Wipro,Consulting,IT,2025-12-30,26134,Paid,South
INV339,TCS,Software,Finance,2024-12-25,4829,Paid,West
INV340,Oracle,Software,IT,2026-03-06,28133,Pending,South
INV341,TCS,Logistics,HR,2024-07-23,34358,Paid,West
INV342,Wipro,IT Hardware,Finance,2024-04-06,1159,Pending,West
INV343,Amazon,Office Supplies,IT,2025-05-01,18554,Paid,South
INV344,Cisco,IT Hardware,HR,2024-05-19,5668,Paid,East
INV345,Lenovo,Consulting,Marketing,2024-04-24,2355,Pending,South
INV346,HP,Logistics,IT,2025-06-13,27887,Pending,East
INV347,HP,Office Supplies,Finance,2024-06-28,19796,Paid,East
INV348,Wipro,IT Hardware,IT,2024-03-20,29369,Pending,East
INV349,Oracle,IT Hardware,Operations,2025-10-03,5175,Paid,North
INV350,Infosys,Software,Marketing,2025-06-03,5914,Pending,North
INV351,TCS,Office Supplies,Operations,2024-12-30,10924,Paid,East
INV352,Amazon,Office Supplies,Finance,2025-12-06,1224,Pending,East
INV353,HP,Office Supplies,Operations,2025-11-18,14984,Paid,West
INV354,Dell,Consulting,HR,2024-12-21,17035,Pending,West
INV355,Lenovo,Office Supplies,HR,2024-12-03,20932,Paid,East
INV356,Microsoft,Consulting,Operations,2024-11-15,1918,Paid,North
INV357,Microsoft,Office Supplies,HR,2025-09-26,10733,Paid,South
INV358,Dell,Software,IT,2024-06-17,28997,Paid,West
INV359,TCS,Logistics,Marketing,2025-11-30,44562,Paid,South
INV360,Infosys,Software,Operations,2025-10-11,43253,Paid,East
INV361,Wipro,Logistics,Marketing,2024-08-18,15506,Pending,West
INV362,Wipro,Software,Finance,2024-12-21,15770,Paid,South
INV363,Oracle,Consulting,IT,2025-01-25,17787,Pending,North
INV364,Infosys,Logistics,Marketing,2024-06-02,4388,Paid,West
INV365,TCS,IT Hardware,HR,2025-11-05,5037,Pending,East
INV366,Microsoft,IT Hardware,Operations,2024-12-04,41062,Pending,North
INV367,TCS,IT Hardware,Operations,2024-05-31,21108,Pending,North
INV368,Lenovo,Software,Finance,2025-11-12,35600,Paid,South
INV369,HP,Logistics,Operations,2024-07-31,47571,Pending,North
INV370,TCS,Office Supplies,Marketing,2024-06-16,20171,Pending,South
INV371,Cisco,Logistics,HR,2024-05-28,5379,Paid,East
INV372,Infosys,Logistics,Marketing,2025-07-02,41520,Paid,South
INV373,Lenovo,Software,IT,2025-09-23,22499,Pending,South
INV374,Cisco,Software,Marketing,2025-07-26,5162,Pending,North
INV375,Oracle,IT Hardware,Finance,2024-06-16,23047,Paid,East
INV376,Cisco,Consulting,IT,2026-02-12,38173,Pending,West
INV377,Microsoft,Office Supplies,IT,2025-09-01,42871,Pending,West
INV378,TCS,Consulting,IT,2026-02-14,31648,Paid,East
INV379,Cisco,IT Hardware,Marketing,2024-03-23,41862,Paid,South
INV380,Amazon,Consulting,HR,2024-11-23,2620,Paid,North
INV381,TCS,Software,Operations,2025-12-11,14175,Paid,West
INV382,Amazon,Software,Finance,2024-11-01,19386,Paid,South
INV383,Infosys,Office Supplies,IT,2024-03-26,31934,Pending,East
INV384,Oracle,Office Supplies,IT,2025-08-03,20341,Paid,East
INV385,Wipro,IT Hardware,Finance,2026-03-06,46947,Paid,West
INV386,Dell,Logistics,Operations,2025-03-05,26759,Pending,North
INV387,Cisco,Software,Marketing,2025-04-22,33710,Pending,North
INV388,Wipro,Logistics,IT,2024-06-10,23274,Pending,South
INV389,TCS,Software,Finance,2026-02-07,1771,Pending,East
INV390,Lenovo,Software,Marketing,2024-04-08,23208,Paid,West
INV391,Dell,Consulting,Operations,2025-05-04,27027,Pending,North
INV392,HP,IT Hardware,Finance,2025-02-13,35577,Pending,West
INV393,Wipro,IT Hardware,HR,2024-08-14,49030,Pending,North
INV394,TCS,IT Hardware,HR,2024-11-26,47686,Pending,West
INV395,Amazon,Software,IT,2025-05-10,13960,Paid,North
INV396,Wipro,IT Hardware,Finance,2025-02-03,1099,Paid,East
INV397,Amazon,Logistics,IT,2025-01-23,1865,Pending,West
INV398,Amazon,IT Hardware,IT,2025-08-24,19315,Paid,West
INV399,Oracle,Software,Operations,2026-01-21,29048,Paid,West
INV400,Infosys,IT Hardware,HR,2024-12-22,7543,Pending,South
INV401,TCS,Logistics,Operations,2024-07-22,8868,Pending,East
INV402,Cisco,IT Hardware,Finance,2024-07-27,22775,Paid,South
INV403,Oracle,IT Hardware,Marketing,2025-09-04,34453,Pending,South
INV404,Microsoft,Logistics,HR,2024-08-02,44097,Paid,North
INV405,Dell,Consulting,Marketing,2024-09-15,9531,Paid,East
INV406,Lenovo,Logistics,IT,2025-01-14,49798,Paid,West
INV407,Amazon,IT Hardware,Finance,2025-04-15,36195,Pending,East
INV408,Dell,Consulting,Finance,2025-01-20,45553,Paid,South
INV409,Infosys,IT Hardware,Operations,2024-12-24,34494,Paid,North
